Country Code,type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
COM,per1000,65.1027550068405,63.5641622968366,62.0689049659338,60.6073595753181,59.1765316544715,57.7739628040057,56.4024219901122,55.0602845280102,53.7485526309783,52.4648310956835,52.9769637637452,35.1779987488996,68.8526175460894,71.6860572533651,2.90101265489406,1.67216551866072,1.43665700096908,3.96859526471636,18.2453425477159,20.6830252053436,5.22772095055744
CPV,per1000,1.2934983741444,0.944545470595505,0.659905529313698,0.581295948025303,0.379043126684636,0.564840349536499,0.655823714585519,0.145728928001814,0.279957446468137,0.513699983403539,0.366938096762357,0.0539694532894382,0.00761255157503692,0.165348886149776,0.19294847533599,0.0513076111176264,0.347584289190129,3.02685529055664,0.0141464725770629,0,0
CRI,per1000,1.35488946366135,0.965348726030065,0.711338640388707,0.492652073735881,0.871650333648002,2.36078313196784,1.90874201211522,0.79332182595051,0.618401081113608,0.165586143347039,0.0686607838939278,0.00616682494850701,0.00365675057487166,0,0,0,0.00233267843386303,0.00692647089381489,0.0400044576395656,0.053774213962503,0.0504784515903236
CSS,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUB,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUW,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CYM,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CYP,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CZE,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
DEU,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
DJI,per1000,3.40441347270616,3.40546293011706,3.40444523788271,3.4054923218436,3.40455242233041,3.40499137685934,3.40521371953727,3.40547690748924,3.40408849976723,4.32668919680798,1.60297868355772,3.40527098459193,3.40536256282333,2.54226669343796,14.005323773885,13.8206222416749,19.8374483145632,20.7217806804812,34.5494114293263,67.6657229461066,97.6243113310173
DMA,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
DNK,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
DOM,per1000,0.326606188801522,0.277644058206018,0.350611437215583,0.406774988199833,0.61618719305695,0.987836046356851,0.893097508326879,0.676123846915297,0.453960967802554,0.400943534828154,0.59959582522512,0.386286317712726,0.225222466599161,0.110754516498719,0.101086140215049,0.137374473633283,0.148587061017774,0.0725284505798909,0.0912252109583003,0.269135682252192,0.17053702594807
DZA,per1000,0.0186462698411393,0.00324770049273029,0.00534425271047137,0.00263824955308053,0.00104148386455086,0.000513554236976521,0.000506054435263492,0.0129548717044177,0.00147053417153781,0,0.000473190224836335,0.000464362068677293,0.025046335721084,0.00357086902900483,0,0,0,0,0,0,0
EAP,per1000,6.14210900710868,5.78094264739419,5.39586921093195,5.42127197638062,5.80122532587628,5.36092721972457,5.29856690333823,4.70232278764244,4.82520180155125,5.23954740628065,5.92791357030616,4.68770084592973,5.29947676595575,3.93018732206871,3.53561127502386,2.51700081479952,2.65097107494923,2.34031891214569,2.22183569715119,1.99826584830928,2.34661124237905
EAR,per1000,28.9317721031237,28.9346648759239,26.7339096686045,27.1586961487344,27.8542874764329,26.5608277467364,23.646670042122,22.1210453741475,21.2768646740315,23.6066652460616,24.6660183649749,22.1598125255275,21.2606875248397,19.629283111588,18.697316095885,17.7037933043887,16.7331232284531,15.8776332273176,11.7960768454123,10.1695334014998,9.72828307841361
EAS,per1000,6.12470234499033,5.7631054956458,5.37863937023547,5.40334887475755,5.78171546940215,5.34356197665048,5.28219481540228,4.68827646059959,4.80963759821261,5.22247641615187,5.90893193608973,4.67225919834372,5.28190293140211,3.9172795317118,3.52423888189413,2.50915352257467,2.64269018095974,2.33295955659959,2.21497054605952,1.99216023959785,2.33928965944236
ECA,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ECS,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ECU,per1000,282.869722645436,289.379352860366,226.519582245431,133.639807798928,72.5142479265418,42.319873710547,24.0743000805487,19.6686997870864,11.5470605872451,9.58362561146133,4.31618822055539,2.7419710674777,1.20643580275662,0.8039937515703,0.520613721828774,1.30816353314226,2.47840499759651,2.60669562995144,3.32035722463934,3.56135485553106,3.76178231456592
EGY,per1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ERI,per1000,18.3422446129908,22.9336414677766,13.229431464548,19.0275020261656,5.54928673300221,9.79250017600321,5.63290703304664,12.5371261521622,6.78043687079263,8.86432985461166,26.327916309329,23.8577285592985,16.1480986454587,15.0265751177908,33.1242201287414,19.1515063039627,25.635869426795,33.9676532584956,28.8797748607868,57.299198168091,44.8025576164404
ESP,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
EST,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ETH,per1000,222.326541087133,231.740760217217,205.862851620573,217.671033764225,222.274530404973,152.039239312909,141.754004456739,121.483729903499,100.637289190364,135.903755388199,155.283393328403,155.215230646875,174.578535738493,191.606484718751,158.777640881304,133.785020470887,92.2826333074958,67.0523729208076,37.608943271139,34.7076516849893,54.1261879000187
EUU,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
FCS,per1000,293.254748900785,291.431684195695,281.169039725285,279.372024483971,280.449271192567,272.028609355629,267.463116860648,262.710153317108,255.470960916321,251.662762243415,245.780415633211,234.172467861974,228.935216382832,221.732185960986,212.442125872138,204.747462447803,201.673083229283,202.368515590783,200.610559974393,198.828791653153,208.679553326576
FIN,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
FJI,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
FRA,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
FRO,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
FSM,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
GAB,per1000,324.140581051631,306.85019491132,274.964876466068,231.662507405606,177.577286842548,142.30771996692,120.266210954981,109.870192487259,117.102107421744,142.84940325382,172.401988491182,201.087004913248,226.082871295673,241.242219617296,259.920235736153,253.925419342914,230.276978428015,218.92114148891,209.36971369926,206.64758641577,215.463434885125
GBR,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
GEO,per1000,5.61656083079251,10.1933952384277,11.1306798168369,7.45476420769539,6.08168867433385,3.68162276430489,1.40821538534979,0.575981568589805,0.144836576063342,0.0242753799096956,0,0,0,0,0,0,0,0,0,0,null
GHA,per1000,435.23472613771,419.930395052794,391.170449467105,370.895554899715,352.265346792321,336.385349880502,327.993936473731,328.589302552793,342.200029265189,359.731020837706,371.745782642135,376.216361040477,366.070887975722,341.490100531648,310.783272995481,275.820819719688,237.48046437977,200.893505903412,171.705595316817,161.481488933244,162.847974318623
GIB,per1000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
GIN,per1000,445.022319004312,442.745835195618,426.085743232911,404.383042938973,370.855646636818,343.663075760312,333.324988737482,336.532936673993,356.185918670029,384.619753985912,406.75085026071,421.860111920214,429.742794614211,414.739854808961,398.850772623368,382.216611896891,360.813290767746,353.731206985762,349.269213258396,327.849843312078,319.538297720698
